price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain,car_age,make_model
74600.0,23,6.0,4,10.0,14,128,6,4.0,223,32,1,1,67
50170.0,62,6.0,4,1.0,14,71,6,4.0,123,32,1,1,63
96410.0,47,8.0,4,0.0,27,41,6,4.0,210,71,1,1,45
46835.0,13,8.0,4,32.0,14,93,6,4.0,225,5,0,2,25
81663.0,19,6.0,0,10.0,6,68,5,4.0,182,5,1,1,104
46000.0,25,6.0,4,3838.0,28,85,6,4.0,223,34,0,1,97
63862.0,23,6.0,4,5.0,14,34,6,4.0,43,5,3,1,67
89978.0,31,8.0,0,15.0,0,72,5,4.0,47,9,1,1,34
42230.0,9,4.0,5,5.0,6,75,6,4.0,226,5,0,1,58
42773.0,66,6.0,4,20.0,27,31,6,4.0,187,32,1,1,63
37743.0,8,4.0,4,0.0,14,73,6,4.0,123,5,1,1,61
60904.0,81,6.0,0,532.0,27,144,5,4.0,93,5,1,1,104
43419.0,16,4.0,4,1.0,16,19,5,4.0,19,18,0,1,54
44022.0,66,6.0,4,12.0,27,31,6,4.0,25,32,1,1,63
38574.0,16,4.0,4,12.0,16,21,5,4.0,38,5,0,1,54
48000.0,25,6.0,4,87.0,28,85,6,4.0,64,2,0,1,97
53190.0,8,4.0,4,15.0,0,139,6,4.0,200,27,1,1,32
32751.0,37,4.0,4,25.0,11,4,6,4.0,34,7,0,1,116
24348.0,37,4.0,4,13.0,17,0,7,4.0,157,72,2,1,115
65221.0,81,6.0,0,344.0,27,144,5,4.0,43,5,1,1,104
39491.0,9,4.0,5,5.0,6,94,6,4.0,103,5,0,1,26
30305.0,14,4.0,4,11.0,14,107,6,4.0,226,5,2,1,57
44120.0,37,4.0,4,0.0,27,41,6,4.0,73,44,0,1,44
33160.0,14,4.0,4,1.0,14,18,5,4.0,38,5,0,1,54
40940.0,8,4.0,4,7.0,0,158,6,4.0,200,27,3,1,32
34084.0,55,4.0,4,12.0,14,75,6,4.0,25,5,1,1,61
58855.0,13,8.0,4,0.0,27,144,5,4.0,91,5,1,1,103
39867.0,25,6.0,4,2.0,28,118,6,4.0,223,33,2,1,97
53595.0,27,6.0,2,10.0,27,10,0,3.0,142,20,3,1,38
59547.0,9,4.0,5,185.0,14,150,6,4.0,70,32,1,2,64
27175.0,37,4.0,4,5.0,17,1,7,4.0,157,72,2,1,115
58610.0,10,8.0,4,0.0,27,99,5,4.0,210,41,1,1,16
29640.0,11,4.0,4,16.0,28,44,6,4.0,203,5,0,1,72
43727.0,21,6.0,4,9.0,23,24,6,4.0,52,41,0,1,14
35870.0,37,4.0,4,0.0,27,112,6,4.0,210,45,0,1,44
64670.0,81,6.0,0,15.0,27,144,5,4.0,43,23,1,1,104
46973.0,73,4.0,4,10.0,27,132,6,4.0,108,5,1,1,69
54905.0,9,4.0,5,1.0,14,150,6,4.0,187,32,1,1,64
50915.0,7,4.0,5,7.0,14,87,6,4.0,121,5,0,1,85
28860.0,8,4.0,4,7.0,14,73,6,4.0,70,5,1,1,61
46835.0,13,8.0,4,21.0,14,93,6,4.0,58,5,0,2,25
24348.0,37,4.0,4,6.0,17,0,7,4.0,156,72,2,1,115
38870.0,7,4.0,5,14.0,6,75,7,4.0,153,18,2,1,56
58709.0,13,8.0,4,15.0,14,94,6,4.0,133,5,0,1,25
42855.0,36,4.0,4,5.0,6,95,6,4.0,2,5,0,1,26
34990.0,8,4.0,4,10.0,23,51,6,4.0,158,5,0,1,26
34835.0,35,4.0,5,9.0,27,44,6,4.0,95,5,0,1,76
35870.0,37,4.0,4,0.0,27,112,6,4.0,210,45,0,1,44
69955.0,28,6.0,4,8.0,0,158,6,4.0,182,9,1,1,31
39581.0,9,4.0,5,5.0,6,94,6,4.0,36,5,0,1,26
49166.0,8,4.0,4,0.0,14,14,6,4.0,22,72,0,1,113
40474.0,86,4.0,4,5.0,27,75,6,4.0,181,34,0,1,57
89450.0,22,6.0,4,10.0,14,164,6,4.0,32,16,0,1,7
28860.0,8,4.0,4,7.0,14,73,6,4.0,123,5,1,1,61
62341.0,61,6.0,5,4357.0,0,75,5,4.0,110,5,1,1,112
24500.0,33,4.0,4,10.0,29,118,6,4.0,17,15,2,1,96
27075.0,2,3.0,4,6.0,6,87,6,4.0,211,27,2,1,11
35975.0,78,3.0,4,4.0,27,118,6,4.0,102,15,0,1,99
36405.0,78,3.0,4,5.0,27,118,6,4.0,65,15,0,1,99
86137.0,76,6.0,4,5.0,27,129,6,4.0,220,32,1,1,68
27969.0,38,4.0,4,0.0,14,103,6,4.0,95,5,2,1,75
63223.0,19,6.0,0,13.0,27,144,5,4.0,43,5,1,1,104
47785.0,13,8.0,4,32.0,14,93,6,4.0,58,5,0,2,25
46000.0,25,6.0,4,5.0,28,85,6,4.0,64,2,0,1,97
96410.0,47,8.0,4,0.0,27,41,6,4.0,210,71,1,1,45
41180.0,78,3.0,4,3.0,27,110,6,4.0,40,15,0,1,99
44720.0,9,4.0,5,5.0,6,94,6,4.0,36,5,0,1,26
28860.0,8,4.0,4,9.0,14,73,6,4.0,123,5,1,1,61
44160.0,25,6.0,4,12.0,14,51,6,4.0,219,5,3,1,25
28469.0,14,4.0,4,0.0,14,107,7,4.0,223,18,0,1,55
58930.0,19,6.0,0,13.0,6,144,5,4.0,43,5,1,1,104
35236.0,8,4.0,4,0.0,23,113,6,4.0,75,41,0,1,44
60555.0,23,6.0,4,5.0,14,34,6,4.0,70,5,3,1,67
0.0,83,6.0,4,14.0,27,91,6,4.0,217,5,0,1,3
66334.0,59,6.0,0,6.0,27,146,5,4.0,43,8,1,1,104
73020.0,74,4.0,4,12.0,9,27,6,4.0,98,5,0,1,2
89555.0,19,6.0,0,12.0,27,68,5,4.0,145,5,1,1,104
65315.0,19,6.0,0,9.0,6,144,5,4.0,43,5,1,1,104
58599.0,56,4.0,6,8.0,27,91,6,4.0,197,5,0,1,85
47234.0,9,4.0,5,0.0,6,96,6,4.0,89,5,0,1,26
44161.0,8,4.0,4,2.0,14,39,5,4.0,28,41,1,1,16
49496.0,10,8.0,4,2.0,27,64,5,4.0,28,41,1,1,16
43475.0,8,4.0,4,2.0,27,152,5,4.0,28,41,1,1,16
36083.0,25,6.0,4,20.0,14,124,7,4.0,223,5,3,2,24
54559.0,10,8.0,4,148.0,27,99,5,4.0,205,41,1,1,16
60061.0,5,4.0,0,58.0,23,135,0,3.0,184,5,3,1,92
28867.0,74,4.0,4,1.0,27,73,6,4.0,25,5,1,1,61
42005.0,7,4.0,5,1.0,28,133,6,4.0,162,5,0,1,47
35864.0,9,4.0,5,5.0,6,108,6,4.0,7,5,0,1,58
30000.0,55,4.0,4,0.0,14,73,6,4.0,167,69,1,2,61
34000.0,14,4.0,4,10.0,14,155,6,4.0,84,5,0,1,75
29342.0,74,4.0,4,6.0,27,131,6,4.0,118,5,1,1,61
55645.0,27,6.0,2,59.0,0,34,0,3.0,160,27,0,1,37
39714.0,66,6.0,4,14.0,27,71,6,4.0,43,32,1,1,63
49628.0,10,8.0,4,2.0,27,64,5,4.0,161,41,1,1,16
33089.0,9,4.0,5,25.0,6,38,6,4.0,7,34,0,1,58
65075.0,13,8.0,4,18.0,14,126,7,4.0,34,5,3,2,24
38980.0,8,4.0,4,9.0,14,75,6,4.0,70,5,1,1,61
58235.0,73,4.0,4,3.0,27,26,6,4.0,126,32,1,1,64
27998.0,8,4.0,4,3.0,12,4,6,4.0,157,5,0,1,116
25515.0,37,4.0,4,8.0,7,63,6,4.0,210,50,2,1,15
66960.0,9,4.0,5,5.0,14,101,6,4.0,72,5,1,1,70
53395.0,63,4.0,4,5.0,14,34,6,4.0,171,37,0,1,85
53272.0,25,6.0,4,1.0,23,56,0,3.0,43,5,2,1,106
51361.0,8,4.0,4,3.0,14,100,6,4.0,114,27,0,1,82
60600.0,26,6.0,5,10.0,28,127,4,4.0,43,5,2,1,22
38575.0,8,4.0,4,10.0,23,51,6,4.0,96,5,0,1,26
31225.0,6,4.0,4,6.0,28,16,7,4.0,28,15,2,1,94
32520.0,7,4.0,5,11.0,6,107,7,4.0,153,34,2,1,56
35821.0,25,6.0,4,20.0,14,124,7,4.0,28,5,3,2,24
60200.0,63,4.0,4,33.0,27,34,6,4.0,117,76,0,1,85
36532.0,75,4.0,4,14.0,21,52,6,4.0,97,5,0,1,26
61506.0,73,4.0,4,3.0,27,32,6,4.0,187,32,1,1,64
59625.0,63,4.0,4,2.0,14,34,6,4.0,63,5,0,1,85
35480.0,75,4.0,4,0.0,27,57,6,4.0,107,5,0,1,26
31200.0,8,4.0,4,11.0,14,73,6,4.0,187,5,1,1,61
54835.0,73,4.0,4,11.0,13,132,6,4.0,188,5,1,1,70
52115.0,25,6.0,4,13.0,14,75,6,4.0,123,3,1,1,63
32011.0,37,4.0,4,11.0,19,4,6,4.0,156,5,2,1,116
53099.0,25,6.0,4,30.0,23,56,0,3.0,43,5,2,1,107
46835.0,13,8.0,4,32.0,14,93,6,4.0,58,5,0,2,25
30383.0,8,4.0,4,13.0,14,4,6,4.0,154,5,2,1,116
46890.0,8,4.0,4,10.0,23,78,6,4.0,55,41,2,1,12
37729.0,66,6.0,4,10.0,27,71,6,4.0,71,32,1,1,63
53535.0,9,4.0,5,4.0,14,131,6,4.0,9,5,1,1,70
37490.0,25,6.0,4,20.0,14,124,7,4.0,101,5,3,2,24
44600.0,9,4.0,5,5.0,6,96,6,4.0,34,5,0,1,26
45038.0,25,6.0,4,5.0,14,51,6,4.0,219,5,0,1,25
60972.0,66,6.0,4,12.0,27,101,6,4.0,93,5,1,1,69
53796.0,25,6.0,4,0.0,14,101,5,4.0,105,5,1,2,62
25311.0,8,4.0,4,9.0,12,3,6,4.0,157,5,0,1,116
35913.0,25,6.0,4,15.0,14,124,7,4.0,34,5,3,2,24
48350.0,79,4.0,4,3.0,31,66,6,4.0,191,62,2,1,59
21000.0,11,4.0,4,9.0,28,7,7,4.0,15,33,2,1,102
90995.0,22,6.0,4,10.0,23,34,6,4.0,34,5,0,1,88
56079.0,7,4.0,5,0.0,14,88,6,4.0,170,5,0,1,85
52263.0,51,8.0,4,10.0,0,157,5,2.0,160,51,1,1,34
46835.0,13,8.0,4,29.0,14,93,6,4.0,225,5,0,2,25
42991.0,9,4.0,5,14.0,6,94,6,4.0,103,5,0,1,26
54910.0,9,4.0,5,10.0,14,150,6,4.0,43,32,1,1,64
56105.0,8,4.0,4,12.0,10,105,2,4.0,132,5,0,1,1
44790.0,25,6.0,4,32.0,14,93,6,4.0,58,5,0,2,25
32580.0,1,3.0,4,0.0,23,98,6,4.0,53,43,0,1,18
34330.0,14,4.0,4,11.0,14,18,5,4.0,19,34,0,1,54
37430.0,75,4.0,4,9.0,22,52,6,4.0,33,5,0,1,26
42015.0,16,4.0,4,1.0,16,21,5,4.0,38,5,0,1,54
32925.0,14,4.0,4,1.0,14,18,5,4.0,38,5,0,1,54
57870.0,9,4.0,5,5.0,14,125,6,4.0,147,5,1,1,70
28265.0,8,4.0,4,11.0,14,73,6,4.0,43,5,1,1,61
30618.0,8,4.0,4,7.0,12,4,6,4.0,156,34,0,1,116
31985.0,87,3.0,4,2.0,14,30,6,4.0,47,28,2,1,30
35210.0,80,3.0,4,0.0,14,82,6,4.0,180,30,1,1,28
